date,senator,ticker,amount,direction,returns_after_1d,returns_before_1d,returns_after_5d,returns_before_5d,returns_after_15d,returns_before_15d,returns_after_30d,returns_before_30d,adtv_before_1d,adtv_after_1d,adtv_before_5d,adtv_after_5d,adtv_before_15d,adtv_after_15d,adtv_before_30d,adtv_after_30d,daily_adtv
2014-12-12,Pat Roberts,BAC,-8000.5,-1.0,-0.016345763168470695,-0.01946179275839699,0.0286047405169787,-0.03110844923493017,-0.015761838043377496,0.010593474316053175,-0.11266794575389416,0.00881330786305945,14537600.0,524800.0,1397060.0,2778237.4,2687008.533333333,1749472.2666666666,5075932.566666666,2104497.3666666667,88886700.0
2014-12-12,Pat Roberts,XOM,-8000.5,-1.0,0.0034643030495926652,-0.029148063431206905,0.08129317581016737,-0.07695568720218326,0.037066812668037574,-0.09622186857600845,0.015588779662712549,-0.07649307326400412,12176100.0,1823891.0,2274681.0,2397198.2,3124927.466666667,21640632.466666665,3798134.933333333,12142612.9,24568300.0
2014-12-15,Susan M. Collins,TOLLX,-8000.5,-1.0,0.0,-0.011235842546656216,0.04653116430886195,-0.03670332333901527,0.03738840676804189,-0.05196458973122886,0.06692711579209765,-0.04408942784375869,6530700.0,947600.0,1617660.0,1242860.0,4021224.466666667,7842831.666666667,7923036.3,5688992.5,0.0
2014-12-15,Thomas R. Carper,DD,8000.5,1.0,-0.017031114852402718,0.0023069123282710713,0.05339455081716182,-0.10190171305220175,0.007957442948385962,-0.1777061772065236,0.0453491702462856,-0.12044553486627518,12391100.0,3956300.0,2747999.2,3638420.0,5815851.0,2695403.466666667,1624063.1333333333,5996045.766666667,11007400.0
2014-12-18,Susan M. Collins,TOLLX,8000.5,1.0,0.0033942265720257048,0.02029504211291,0.025119118920404526,0.011636876212848035,0.005431270084222506,-0.02342282106520044,0.03869668316829822,-0.009694504294245898,5891700.0,992800.0,2898040.0,1390220.0,4795450.333333333,10299618.066666666,10306235.1,6986065.7,0.0
2014-12-19,Pat Roberts,BA,8000.5,1.0,0.01576510304666856,0.004456144617920099,0.04800777730525607,0.045209949226772794,0.03913516454006549,-0.06050918548436046,0.16628385035763693,0.013244176645131223,376800.0,14857800.0,2167720.0,25842040.4,14499583.6,10250778.133333333,4647064.966666667,6617705.733333333,7680800.0
2014-12-31,Patrick J. Toomey,CVX,32500.5,1.0,0.003565995200870198,-0.008222246143780865,-0.01577805347032768,-0.015532973385695037,-0.04751288168346168,0.04831352600430683,0.015225872180358424,-0.03084244868196173,3406100.0,28200.0,7724520.0,3126570.4,4407092.666666667,2288671.6,1221965.9666666666,3251099.8333333335,6411800.0
2015-01-05,Patrick J. Toomey,PCY,-32500.5,-1.0,-0.0014333027323696346,-0.004990162231270023,0.00609091084630542,-0.013432126755362761,0.028421350239114185,-0.0017743797553418927,0.024851621878886565,-0.022324165008406616,4089900.0,1191400.0,2210915.0,2087020.0,1751804.4,4267606.066666666,9857687.5,2713096.8,1688400.0
2015-01-05,Patrick J. Toomey,SHY,32500.5,1.0,0.00047379810306269476,0.0,0.0022478011958906308,0.00201447328959814,0.003667493109019926,-8.21338633024693e-05,0.002281210718541038,-0.000684957724434776,2161800.0,338600.0,1643040.0,2228540.0,2057395.1333333333,1846424.9333333333,3205755.7,7230043.633333334,1214300.0
2015-01-06,John Hoeven,FCX,-75000.5,-1.0,0.014647037507776739,0.01715615918368618,-0.05328965015390885,-0.031384271070300285,-0.21617440207649774,0.03443558361016463,-0.050140159603473955,-0.21141035917515905,0.0,349900.0,10253970.4,1529405.0,3104201.466666667,2830368.3333333335,5555127.7,3736948.9,15756800.0
2015-01-08,David Perdue,KN,8000.5,1.0,0.047113779096478625,0.053196181585380975,-0.09380301929409474,0.0004246381828370005,-0.09974534952204972,0.24722076374724855,-0.21010182376049658,0.12350978719100292,1506500.0,790500.0,3215854.4,7328400.0,4200834.2,3369574.4,3607666.2333333334,3563683.8666666667,1852600.0
2015-01-13,David Perdue,BK,-8000.5,-1.0,-0.02526018195404156,-0.0018196896339205404,-0.022135366514396404,0.003134545921007481,-0.027493972098326047,-0.0599757027812422,0.03189729328598312,-0.040719166883739444,576000.0,740500.0,1298043.2,3236960.0,10154415.666666666,2750454.2666666666,4924399.733333333,2942382.2666666666,4868000.0
2015-01-13,Susan M. Collins,AAPL,8000.5,1.0,-0.003810665210598696,0.008878645612558467,-0.0060789386863695505,0.03726725616187321,0.08473943910524318,-0.013955508795054916,0.1879395810609823,-0.07323624168263998,214050.0,220500.0,1827474.6,4175500.0,6064331.133333334,2834286.6666666665,2246828.8666666667,4800448.1,268367600.0
2015-01-13,Susan M. Collins,ADP,-8000.5,-1.0,-0.0028579815417389964,-0.002020379609334322,0.006906353600128146,0.017445777099150517,0.030959801873250425,-0.00861776574126405,0.057871004665985826,-0.013715398731088513,4433200.0,1588300.0,2296280.0,2043820.0,4323234.533333333,6028196.2,2964909.8666666667,7251142.0,1924100.0
